"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2006-10-24","South Africa","Sri Lanka","Sri Lanka","field","Sardar Patel Stadium, Motera","219","49.6","10","141","39.1","10","South Africa","runs","78"
"2015-10-18","India","South Africa","South Africa","bat","Saurashtra Cricket Association Stadium","270","49.6","7","252","49.6","6","South Africa","runs","18"
"2015-03-14","Australia","Scotland","Australia","field","Bellerive Oval","130","25.4","10","133","15.3","3","Australia","wickets","7"
"2016-02-27","South Africa","West Indies","West Indies","bat","Buffalo Park","232","49.1","10","175","45.3","10","West Indies","runs","57"
"2011-06-16","West Indies","India","West Indies","field","Sabina Park, Kingston","251","47.4","10","255","48.4","4","West Indies","wickets","7"
"2015-06-09","England","New Zealand","New Zealand","field","Edgbaston","408","49.7","10","198","31.1","10","England","runs","210"
"2011-03-14","Pakistan","Zimbabwe","Zimbabwe","bat","Pallekele International Cricket Stadium","151","39.4","6","164","34.1","3","Pakistan","wickets","7"
"2008-07-02","Pakistan","India","India","bat","National Stadium","308","49.6","7","309","45.3","3","Pakistan","wickets","8"
"2011-11-11","Pakistan","Sri Lanka","Sri Lanka","bat","Dubai International Cricket Stadium","131","40.3","10","132","21.5","2","Pakistan","wickets","8"
"2015-03-03","Ireland","South Africa","South Africa","bat","Manuka Oval","411","49.6","4","210","44.7","10","South Africa","runs","201"
"2006-09-18","South Africa","Zimbabwe","Zimbabwe","bat","Buffalo Park","152","49.4","10","156","27.4","4","South Africa","wickets","6"
"2006-01-20","Australia","South Africa","Australia","bat","Docklands Stadium","245","49.2","10","186","46.6","10","Australia","runs","59"
"2006-09-02","England","Pakistan","Pakistan","field","Lord's","166","39.1","10","169","36.4","3","Pakistan","wickets","7"
"2007-02-05","Kenya","Canada","Kenya","bat","Jaffery Sports Club Ground","250","49.6","10","92","14.5","10","Kenya","runs","158"
"2006-04-18","India","Pakistan","India","bat","Sheikh Zayed Stadium","197","49.6","10","201","48.3","4","Pakistan","wickets","6"
